lr-AdamW/pg1,lr-AdamW/pg2,lr-AdamW/pg3,step,CD_Loss,MSE_Bias_Loss,MSE_Var_Loss,epoch
0.0005,0.0005,0.0005,274,,,,
,,,274,-156.2116241455078,0.26208746433258057,0.5851300954818726,0
0.0005,0.0005,0.0005,279,,,,
,,,279,-170.53843688964844,0.2535441517829895,0.5889169573783875,0
0.0005,0.0005,0.0005,284,,,,
,,,284,-162.5924072265625,0.24883420765399933,0.5788062810897827,0
0.0005,0.0005,0.0005,289,,,,
,,,289,-161.77593994140625,0.25255143642425537,0.5861743092536926,0
0.0005,0.0005,0.0005,294,,,,
,,,294,-173.92247009277344,0.241760715842247,0.5676240921020508,0
0.0005,0.0005,0.0005,299,,,,
,,,299,-147.96517944335938,0.2513800859451294,0.5810369253158569,0
0.0005,0.0005,0.0005,304,,,,
,,,304,-156.08035278320312,0.24255384504795074,0.5750885009765625,0
0.0005,0.0005,0.0005,309,,,,
,,,309,-144.8539581298828,0.25569379329681396,0.5815036296844482,0
0.0005,0.0005,0.0005,314,,,,
,,,314,-147.24668884277344,0.251205712556839,0.5797003507614136,0
0.0005,0.0005,0.0005,319,,,,
,,,319,-155.17950439453125,0.23834380507469177,0.5688831210136414,0
0.0005,0.0005,0.0005,324,,,,
,,,324,-132.52069091796875,0.24967093765735626,0.589253842830658,0
0.0005,0.0005,0.0005,329,,,,
,,,329,-143.8737335205078,0.24546420574188232,0.5847220420837402,0
0.0005,0.0005,0.0005,334,,,,
,,,334,-131.1125946044922,0.24325154721736908,0.581572949886322,0
0.0005,0.0005,0.0005,339,,,,
,,,339,-109.79063415527344,0.24709458649158478,0.5883116722106934,0
0.0005,0.0005,0.0005,344,,,,
,,,344,-120.8607406616211,0.24523669481277466,0.5861096978187561,0
0.0005,0.0005,0.0005,349,,,,
,,,349,-126.8799057006836,0.24746772646903992,0.5871964693069458,0
0.0005,0.0005,0.0005,354,,,,
,,,354,-124.16668701171875,0.240308940410614,0.5712655782699585,0
0.0005,0.0005,0.0005,359,,,,
,,,359,-137.11184692382812,0.24168866872787476,0.5872400403022766,0
0.0005,0.0005,0.0005,364,,,,
,,,364,-95.53048706054688,0.2401125431060791,0.5787670612335205,0
0.0005,0.0005,0.0005,369,,,,
,,,369,-90.07101440429688,0.23934084177017212,0.5731419920921326,0
0.0005,0.0005,0.0005,374,,,,
,,,374,-114.56086730957031,0.24210073053836823,0.5845909714698792,0
0.0005,0.0005,0.0005,379,,,,
,,,379,-131.103759765625,0.2395624816417694,0.5771093368530273,0
0.0005,0.0005,0.0005,384,,,,
,,,384,-89.29216003417969,0.23970675468444824,0.5846235156059265,0
0.0005,0.0005,0.0005,389,,,,
,,,389,-142.4852294921875,0.23013104498386383,0.5731616616249084,0
0.0005,0.0005,0.0005,394,,,,
,,,394,-127.23544311523438,0.22995351254940033,0.5779217481613159,0
0.0005,0.0005,0.0005,399,,,,
,,,399,-67.81889343261719,0.25085344910621643,0.5938553810119629,0
0.0005,0.0005,0.0005,404,,,,
,,,404,-128.3011016845703,0.24256807565689087,0.5823084115982056,0
0.0005,0.0005,0.0005,409,,,,
,,,409,-75.55043029785156,0.23617087304592133,0.5779464840888977,0
0.0005,0.0005,0.0005,414,,,,
,,,414,-119.21778869628906,0.23443661630153656,0.5797170400619507,0
0.0005,0.0005,0.0005,419,,,,
,,,419,-117.62196350097656,0.2381807118654251,0.586445152759552,0
0.0005,0.0005,0.0005,424,,,,
,,,424,-63.67235565185547,0.24637463688850403,0.5966689586639404,0
0.0005,0.0005,0.0005,429,,,,
,,,429,-91.4183578491211,0.23774036765098572,0.5815727710723877,0
0.0005,0.0005,0.0005,434,,,,
,,,434,-114.72044372558594,0.2302434891462326,0.5789079666137695,1
0.0005,0.0005,0.0005,439,,,,
,,,439,-72.84459686279297,0.24393890798091888,0.6035380959510803,1
0.0005,0.0005,0.0005,444,,,,
,,,444,-96.9672622680664,0.23964107036590576,0.589318037033081,1
0.0005,0.0005,0.0005,449,,,,
,,,449,-115.77178955078125,0.22952920198440552,0.5638611316680908,1
0.0005,0.0005,0.0005,454,,,,
,,,454,-72.63750457763672,0.23737527430057526,0.591363787651062,1
