lr-AdamW/pg1,lr-AdamW/pg2,lr-AdamW/pg3,step,CD_Loss,MSE_Bias_Loss,MSE_Var_Loss,epoch
0.0005,0.0005,0.0005,244,,,,
,,,244,-180.79653930664062,0.2875666320323944,0.591651201248169,0
0.0005,0.0005,0.0005,249,,,,
,,,249,-197.48362731933594,0.27449196577072144,0.5894765853881836,0
0.0005,0.0005,0.0005,254,,,,
,,,254,-176.6571807861328,0.2768043279647827,0.5873883366584778,0
0.0005,0.0005,0.0005,259,,,,
,,,259,-189.02935791015625,0.2653372585773468,0.5694785714149475,0
0.0005,0.0005,0.0005,264,,,,
,,,264,-173.1681671142578,0.2765271067619324,0.5894341468811035,0
0.0005,0.0005,0.0005,269,,,,
,,,269,-171.12013244628906,0.2726038098335266,0.5997439622879028,0
0.0005,0.0005,0.0005,274,,,,
,,,274,-163.62615966796875,0.2706848382949829,0.5911513566970825,0
0.0005,0.0005,0.0005,279,,,,
,,,279,-187.01315307617188,0.2525325417518616,0.5811368227005005,0
0.0005,0.0005,0.0005,284,,,,
,,,284,-167.92245483398438,0.25992172956466675,0.5846245288848877,0
0.0005,0.0005,0.0005,289,,,,
,,,289,-168.14553833007812,0.2591423988342285,0.5862078666687012,0
0.0005,0.0005,0.0005,294,,,,
,,,294,-191.40574645996094,0.23930099606513977,0.5580400228500366,0
0.0005,0.0005,0.0005,299,,,,
,,,299,-150.7252960205078,0.25900793075561523,0.5891218185424805,0
0.0005,0.0005,0.0005,304,,,,
,,,304,-165.29151916503906,0.2460441142320633,0.568837583065033,0
0.0005,0.0005,0.0005,309,,,,
,,,309,-150.19793701171875,0.2607532739639282,0.5808154344558716,0
0.0005,0.0005,0.0005,314,,,,
,,,314,-148.8496856689453,0.25540927052497864,0.5857489705085754,0
0.0005,0.0005,0.0005,319,,,,
,,,319,-157.29356384277344,0.24088723957538605,0.5569726824760437,0
0.0005,0.0005,0.0005,324,,,,
,,,324,-130.32794189453125,0.2562597393989563,0.5946100950241089,0
0.0005,0.0005,0.0005,329,,,,
,,,329,-134.37249755859375,0.26302456855773926,0.5943124890327454,0
0.0005,0.0005,0.0005,334,,,,
,,,334,-141.5590057373047,0.2459583431482315,0.5777873396873474,0
0.0005,0.0005,0.0005,339,,,,
,,,339,-119.92166900634766,0.2475258708000183,0.5901553630828857,0
0.0005,0.0005,0.0005,344,,,,
,,,344,-141.4287567138672,0.24411968886852264,0.5815325975418091,0
0.0005,0.0005,0.0005,349,,,,
,,,349,-139.54940795898438,0.2502378225326538,0.5885763168334961,0
0.0005,0.0005,0.0005,354,,,,
,,,354,-130.84622192382812,0.24696432054042816,0.5644195079803467,0
0.0005,0.0005,0.0005,359,,,,
